"x","y","z","w","partid"
-1.47327,3.63381,4.75,1,100
-1.31272,3.50162,4.75,1,100
-1.44173,3.70573,4.75,1,100
-1.25306,3.44352,4.75,1,100
-0.18042,2.44442,4.75,1,100
-1.20388,3.37633,4.75,1,100
-1.16653,3.3019,4.75,1,100
-1.13404,3.05654,4.75,1,100
-1.15073,2.97496,4.75,1,100
-1.18073,2.89728,4.75,1,100
-2.44317,0.18168,4.75,1,100
-3.44226,1.25432,4.75,1,100
-3.70447,1.44299,4.75,1,100
-3.50036,1.31398,4.75,1,100
-3.63256,1.47452,4.75,1,100
-1.14205,3.22231,4.75,1,100
-1.13112,3.13976,4.75,1,100
-2.76082,1.27824,4.75,1,100
-1.27699,2.76207,4.75,1,100
-1.22321,2.82565,4.75,1,100
-2.8244,1.22447,4.75,1,100
-2.89602,1.18199,4.75,1,100
-2.9737,1.15199,4.75,1,100
-3.05528,1.1353,4.75,1,100
-3.1385,1.13238,4.75,1,100
-3.22105,1.14331,4.75,1,100
-3.30065,1.16779,4.75,1,100
-3.37507,1.20514,4.75,1,100
0.61507,-2.87656,4.75,1,100
2.87781,-0.61381,4.75,1,100
-0.65772,-1.60376,4.75,1,100
1.60502,0.65898,4.75,1,100
12.84801,-9.31123,3.85,1,100
12.84801,-9.31123,7.3,1,100
12.21162,-9.94763,3.85,1,100
12.21162,-9.94763,7.3,1,100
5.24662,-2.98262,6.4,1,100
2.98388,-5.24537,6.4,1,100
3.19601,-0.93201,6.4,1,100
0.93327,-3.19476,6.4,1,100
9.25777,-8.19065,6.4,1,100
9.03306,-8.28373,6.4,1,100
7.72149,-5.4575,6.4,1,100
8.1919,-10.21447,6.4,1,100
8.28498,-10.43918,6.4,1,100
5.45875,-7.72024,6.4,1,100
8.41206,-10.64656,6.4,1,100
8.57002,-10.83151,6.4,1,100
10.83276,-8.56877,6.4,1,100
10.64781,-8.41081,6.4,1,100
8.41206,-8.82443,6.4,1,100
8.28498,-9.03181,6.4,1,100
8.1919,-9.25652,6.4,1,100
8.13512,-9.49302,6.4,1,100
8.11603,-9.7355,6.4,1,100
8.13512,-9.97797,6.4,1,100
10.44043,-8.28373,6.4,1,100
10.21572,-8.19065,6.4,1,100
9.97922,-8.13387,6.4,1,100
9.73675,-8.11478,6.4,1,100
9.49427,-8.13387,6.4,1,100
8.82568,-8.41081,6.4,1,100
8.64073,-8.56877,6.4,1,100
8.57002,-8.63948,6.4,1,100
-8.89483,5.33706,-8.5,1,100
-8.89483,5.33706,-1.5,1,100
-11.12992,5.57198,-8.5,1,100
-9.91476,5.44426,-1.5,1,100
-11.29733,5.58958,-8.48573,1,100
-11.45997,5.60667,-8.44333,1,100
-12.17116,5.68142,8.44801,1,100
-12.31902,5.69696,8.3843,1,100
-12.84801,5.75256,7.45148,1,100
-12.12327,5.67639,-7.54852,1,100
-12.10097,5.67404,-7.71597,1,100
-12.05096,5.66879,-7.87725,1,100
-11.97466,5.66077,-8.02776,1,100
-11.87425,5.65021,-8.16321,1,100
-9.91476,5.44426,8.5,1,100
-11.85466,5.64815,8.5,1,100
-12.01501,5.66501,8.48692,1,100
-12.45474,5.71122,8.29745,1,100
-12.57476,5.72384,8.18974,1,100
-12.67593,5.73447,8.06398,1,100
-12.75562,5.74285,7.92346,1,100
-12.81173,5.74875,7.77186,1,100
-12.8428,5.75201,7.61315,1,100
-11.7526,5.63743,-8.27973,1,100
-11.61318,5.62277,-8.374,1,100
-8.80598,6.18241,-1.5,1,100
-8.80598,6.18241,-8.5,1,100
-9.82592,6.28961,-1.5,1,100
-11.04107,6.41732,-8.5,1,100
-11.88581,6.50611,-8.02776,1,100
-11.96211,6.51413,-7.87725,1,100
-12.01212,6.51939,-7.71597,1,100
-12.03442,6.52173,-7.54852,1,100
-9.82592,6.28961,8.5,1,100
-12.75917,6.5979,7.45148,1,100
-11.76581,6.4935,8.5,1,100
-12.75395,6.59736,7.61315,1,100
-12.72288,6.59409,7.77186,1,100
-12.66677,6.58819,7.92346,1,100
-12.23017,6.5423,8.3843,1,100
-12.36589,6.55657,8.29745,1,100
-12.48591,6.56918,8.18974,1,100
-12.08231,6.52676,8.44801,1,100
-11.92616,6.51035,8.48692,1,100
-12.58708,6.57982,8.06398,1,100
-11.20848,6.43492,-8.48573,1,100
-11.37112,6.45201,-8.44333,1,100
-11.52433,6.46812,-8.374,1,100
-11.66375,6.48277,-8.27973,1,100
-11.78541,6.49556,-8.16321,1,100
-2.93171,1.87231,8.5,1,100
-3.50828,2.44888,8.5,1,100
-3.54157,1.5167,8.5,1,100
-4.04095,2.16927,8.5,1,100
-4.20139,1.26567,8.5,1,100
-4.61363,1.98501,8.5,1,100
-4.89339,1.12599,8.5,1,100
-5.2094,1.90153,8.5,1,100
-5.59892,1.10141,8.5,1,100
-5.81067,1.92132,8.5,1,100
-6.29896,1.19261,8.5,1,100
-6.39966,2.04378,8.5,1,100
-6.97465,1.39712,8.5,1,100
-6.95899,2.2653,8.5,1,100
-5.44301,9.91602,8.5,1,100
-5.64146,11.80414,8.5,1,100
-5.73435,8.88013,8.5,1,100
-8.87888,5.73561,8.5,1,100
-9.61309,6.37197,8.5,1,100
-9.64157,6.34467,8.5,1,100
-7.87021,7.87147,8.5,1,100
-8.65789,8.19762,8.5,1,100
-8.25747,7.41109,8.5,1,100
-9.04425,7.67155,8.5,1,100
-8.56017,6.8912,8.5,1,100
-9.34653,7.09308,8.5,1,100
-8.76936,6.32715,8.5,1,100
-9.87597,5.43705,8.5,1,100
-9.8388,5.42383,8.5,1,100
-9.80416,5.40493,8.5,1,100
-9.674,6.32219,8.5,1,100
-9.70956,6.30509,8.5,1,100
-9.74736,6.29379,8.5,1,100
-9.78647,6.28859,8.5,1,100
-2.44762,3.50954,8.5,1,100
-1.87105,2.93297,8.5,1,100
-2.16801,4.0422,8.5,1,100
-1.51545,3.54282,8.5,1,100
-1.98375,4.61488,8.5,1,100
-1.26442,4.20264,8.5,1,100
-1.90028,5.21066,8.5,1,100
-1.12473,4.89464,8.5,1,100
-1.92007,5.81192,8.5,1,100
-1.10016,5.60018,8.5,1,100
-2.04253,6.40092,8.5,1,100
-9.77294,5.38081,8.5,1,100
-9.7459,5.35208,8.5,1,100
-9.72371,5.31945,8.5,1,100
-9.70694,5.28374,8.5,1,100
-9.69599,5.24583,8.5,1,100
-8.88547,5.13405,8.5,1,100
-9.69114,5.20667,8.5,1,100
-8.78896,4.54025,8.5,1,100
-9.60217,4.50634,8.5,1,100
-8.59218,3.97175,8.5,1,100
-9.39981,3.83001,8.5,1,100
-8.30096,3.44535,8.5,1,100
-9.08951,3.1959,8.5,1,100
-7.92389,2.97659,8.5,1,100
-8.67965,2.62111,8.5,1,100
-7.47212,2.57933,8.5,1,100
-8.18125,2.12113,8.5,1,100
-7.60777,1.70943,8.5,1,100
-6.32589,8.77062,8.5,1,100
-6.40216,9.59051,8.5,1,100
-5.28248,9.70819,8.5,1,100
-5.31819,9.72497,8.5,1,100
-9.55778,6.47551,8.5,1,100
-9.57066,6.43822,8.5,1,100
-9.58925,6.40341,8.5,1,100
-6.4868,11.71529,8.5,1,100
-6.28835,9.82717,8.5,1,100
-6.28733,9.78773,8.5,1,100
-6.29254,9.74862,8.5,1,100
-6.30383,9.71081,8.5,1,100
-6.32093,9.67525,8.5,1,100
-6.34341,9.64283,8.5,1,100
-6.37071,9.61434,8.5,1,100
-6.43696,9.57192,8.5,1,100
-6.47425,9.55904,8.5,1,100
-6.88994,8.56142,8.5,1,100
-7.09182,9.34779,8.5,1,100
-7.40983,8.25872,8.5,1,100
-7.6703,9.0455,8.5,1,100
-8.19636,8.65915,8.5,1,100
-1.19136,6.30022,8.5,1,100
-1.39587,6.97591,8.5,1,100
-2.26404,6.96025,8.5,1,100
-1.70818,7.60902,8.5,1,100
-2.57807,7.47337,8.5,1,100
-2.11987,8.18251,8.5,1,100
-2.97533,7.92515,8.5,1,100
-2.61985,8.6809,8.5,1,100
-3.44409,8.30221,8.5,1,100
-3.19464,9.09077,8.5,1,100
-3.97049,8.59344,8.5,1,100
-3.82875,9.40107,8.5,1,100
-4.539,8.79022,8.5,1,100
-4.50509,9.60343,8.5,1,100
-5.1328,8.88673,8.5,1,100
-5.20542,9.6924,8.5,1,100
-5.24457,9.69724,8.5,1,100
-5.35082,9.74715,8.5,1,100
-5.37955,9.7742,8.5,1,100
-5.40367,9.80542,8.5,1,100
-5.42258,9.84005,8.5,1,100
-5.4358,9.87723,8.5,1,100
-8.87888,5.73561,-8.5,1,100
-2.26404,6.96025,-1.5,1,100
-1.39587,6.97591,-1.5,1,100
-2.04253,6.40092,-1.5,1,100
-1.19136,6.30022,-1.5,1,100
-1.92007,5.81192,-1.5,1,100
-1.10016,5.60018,-1.5,1,100
-1.90028,5.21066,-1.5,1,100
-1.12473,4.89464,-1.5,1,100
-1.98375,4.61488,-1.5,1,100
-1.26442,4.20264,-1.5,1,100
-2.16801,4.0422,-1.5,1,100
-1.51545,3.54282,-1.5,1,100
-2.44762,3.50954,-1.5,1,100
-1.87105,2.93297,-1.5,1,100
-5.40367,9.80542,-1.5,1,100
-5.37955,9.7742,-1.5,1,100
-5.33581,8.89609,-1.5,1,100
-5.35082,9.74715,-1.5,1,100
-5.31819,9.72497,-1.5,1,100
-5.44301,9.91602,-1.5,1,100
-5.4358,9.87723,-1.5,1,100
-5.42258,9.84005,-1.5,1,100
-5.28248,9.70819,-1.5,1,100
-5.24457,9.69724,-1.5,1,100
-5.1328,8.88673,-1.5,1,100
-5.20542,9.6924,-1.5,1,100
-4.539,8.79022,-1.5,1,100
-4.50509,9.60343,-1.5,1,100
-3.97049,8.59344,-1.5,1,100
-3.82875,9.40107,-1.5,1,100
-3.44409,8.30221,-1.5,1,100
-3.19464,9.09077,-1.5,1,100
-2.97533,7.92515,-1.5,1,100
-2.61985,8.6809,-1.5,1,100
-2.57807,7.47337,-1.5,1,100
-2.11987,8.18251,-1.5,1,100
-1.70818,7.60902,-1.5,1,100
-9.78647,6.28859,-1.5,1,100
-9.74736,6.29379,-1.5,1,100
-9.70956,6.30509,-1.5,1,100
-9.674,6.32219,-1.5,1,100
-9.64157,6.34467,-1.5,1,100
-9.61309,6.37197,-1.5,1,100
-6.18115,8.80724,-1.5,1,100
-6.40216,9.59051,-1.5,1,100
-6.37071,9.61434,-1.5,1,100
